,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수,평점,위도,경도,인접역,인접역까지의거리
0,뽀르께노 스페니쉬비스트로,4.6,성북구, 서울특별시 성북구 동소문로6길 4-21 1F,다국적음식, 만원-2만원,2022-07-22,맛있다,7.0,7.0,0.0,0.0,4.6,37.5880182,127.0087053,성신여대입구,0.41276631707813644
1,성북동집,4.5,성북구, 서울특별시 성북구 성북로24길 4,한식, 만원-2만원,2022-07-28,맛있다,41.0,35.0,6.0,0.0,3.841463414634146,37.5948125,126.9960915,성신여대입구,1.330799136744833
2,계모임,4.5,성북구, 서울특별시 성북구 보문로30라길 5-10 1F,한식, 만원-2만원,5 일 전,맛있다,10.0,10.0,0.0,0.0,4.5,37.5898438,127.0189176,한성대입구,0.409767739829964
3,옥돌,4.5,성북구, 서울특별시 성북구 동소문로17길 11,양식, 만원-2만원,2022-07-18,맛있다,5.0,5.0,0.0,0.0,4.5,37.5939992,127.0158225,한성대입구,0.4371593999744033
4,우정초밥,4.4,성북구, 서울특별시 성북구 종암로3길 31 1F,일식, 2만원-3만원,2022-06-18,맛있다,31.0,28.0,3.0,0.0,3.974193548387097,37.5929233,127.0335228,청량리,0.666401568128446
5,일흥콩나물국밥,4.4,성북구, 서울특별시 성북구 고려대로5길 77,한식, 만원 미만,2022-05-16,맛있다,11.0,11.0,0.0,0.0,4.4,37.5877852,127.0195915,한성대입구,0.5415656954377372
6,드시소,4.4,성북구, 서울특별시 성북구 보국문로 86-3 1F,주점, 2만원-3만원,2022-05-15,맛있다,8.0,8.0,0.0,0.0,4.4,37.6098532,127.009535,길음,1.465725075071484
7,마실참숯불생고기집,4.4,성북구, 서울특별시 성북구 종암로38길 41-2,한식, 만원-2만원,2022-07-21,맛있다,7.0,7.0,0.0,0.0,4.4,37.6064895,127.0329143,길음,0.9046402506003509
8,바람난오리궁뎅이,4.3,성북구, 서울특별시 성북구 보국문로29길 15,한식, 2만원-3만원,2021-07-30,맛있다,19.0,18.0,1.0,0.0,4.073684210526316,37.6158371,127.0016566,길음,2.4142672461078885
9,영순관,4.3,성북구, 서울특별시 성북구 지봉로24길 19,중식, 만원 미만,2022-01-30,맛있다,9.0,8.0,1.0,0.0,3.822222222222222,37.5832219,127.0198906,한성대입구,0.9247384128203119
10,밀곳간,4.3,성북구, 서울특별시 성북구 성북로18길 19,카페/디저트, 만원 미만,2022-08-02,맛있다,14.0,14.0,0.0,0.0,4.3,37.593839,126.9996411,성신여대입구,1.0003214447064244
11,참나무닭나라,4.3,성북구, 서울특별시 성북구 동소문로8길 12,한식, 만원 미만,2022-03-23,맛있다,18.0,17.0,0.0,1.0,3.583333333333333,37.5894796,127.009717,성신여대입구,0.22880201827348312
12,토로생선구이,4.3,성북구, 서울특별시 성북구 고려대로28길 14-1,한식, 만원-2만원,2022-03-31,맛있다,10.0,9.0,1.0,0.0,3.87,37.5856039,127.0308717,신설동,0.8499870751091143
13,동병상련,4.2,성북구, 서울특별시 성북구 정릉로10길 42-6,카페/디저트, 만원 미만,2022-04-24,맛있다,7.0,7.0,0.0,0.0,4.2,37.6079962,127.0016431,성신여대입구,2.004074098986351
14,임금님자장면,4.2,성북구, 서울특별시 성북구 보국문로 91,중식, 만원 미만,2022-06-29,맛있다,12.0,10.0,2.0,0.0,3.5,37.6098532,127.009535,길음,1.465725075071484
15,일상,4.1,성북구, 서울특별시 성북구 성북로 106,카페/디저트, 만원 미만,2022-05-22,맛있다,28.0,26.0,1.0,1.0,3.5142857142857142,37.5930731,126.9984423,성신여대입구,1.0848091712086565
16,병과점임오반,4.1,성북구, 서울특별시 성북구 동소문로17길 27 102호,카페/디저트, 만원 미만,2022-06-02,맛있다,11.0,11.0,0.0,0.0,4.1,37.5939992,127.0158225,한성대입구,0.4371593999744033
17,샤뽀블랑,4.1,성북구, 서울특별시 성북구 성북로 60,카페/디저트, 만원 미만,2022-07-31,맛있다,19.0,17.0,2.0,0.0,3.668421052631578,37.5930731,126.9984423,성신여대입구,1.0848091712086565
18,디프커피,4.1,성북구, 서울특별시 성북구 동소문로26가길 56,카페/디저트, 만원 미만,2021-04-20,맛있다,7.0,6.0,1.0,0.0,3.514285714285714,37.5944112,127.0197325,한성대입구,0.6653115987869626
19,바테일러,4.1,성북구, 서울특별시 성북구 아리랑로2길 23,주점, 2만원-3만원,2022-05-29,괜찮다,9.0,8.0,1.0,0.0,3.644444444444444,37.5932042,127.01676,한성대입구,0.39295652915959506
20,백두산양꼬치구이,4.0,성북구, 서울특별시 성북구 동소문로20다길 24,중식, 만원-2만원,2021-05-13,맛있다,27.0,24.0,3.0,0.0,3.555555555555556,37.5917592,127.0173702,한성대입구,0.3181156711261577
21,모던양갱집,4.0,성북구, 서울특별시 성북구 보국문로16길 72,카페/디저트, 만원 미만,2022-05-13,맛있다,8.0,7.0,1.0,0.0,3.5,37.6105861,127.0095173,길음,1.5114625593452196
22,장수식당,3.9,성북구, 서울특별시 성북구 정릉로26길 55,한식, 만원 미만,2022-07-13,맛있다,6.0,6.0,0.0,0.0,3.9,37.6046632,127.0109432,길음,1.1392031758430785
23,슬로우브레드파파,3.9,성북구, 서울특별시 성북구 보문로30나길 29,카페/디저트, 만원 미만,2021-07-21,맛있다,12.0,11.0,1.0,0.0,3.575,37.5897258,127.0202542,한성대입구,0.5282651676686646
24,이립스,4.6,성북구, 서울특별시 성북구 인촌로7길 84-7,카페/디저트, 만원 미만,2021-11-20,맛있다,11.0,11.0,0.0,0.0,4.6,0.0,0.0,개화,13158.583793832535
25,시키카츠,4.7,동대문구, 서울특별시 동대문구 회기로 110,일식, 만원-2만원,2022-07-26,맛있다,65.0,54.0,9.0,2.0,3.615384615384616,37.5899435,127.0567032,회기,0.11953892514495133
26,육전식당,4.4,동대문구, 서울특별시 동대문구 난계로30길 16,한식, 만원-2만원,2022-08-01,맛있다,196.0,166.0,26.0,4.0,3.5469387755102044,37.5739768,127.0252127,동묘앞,0.7587109823585143
27,슈퍼내추럴,4.4,동대문구, 서울특별시 동대문구 전농로23길 78 1F,카페/디저트, 만원 미만,2022-04-24,맛있다,7.0,7.0,0.0,0.0,4.4,37.5793764,127.0538865,회기,1.204444278182614
28,연어이야기,4.4,동대문구, 서울특별시 동대문구 고산자로 528-1,일식, 만원-2만원,2021-05-22,맛있다,17.0,16.0,0.0,1.0,3.6235294117647054,37.5781921,127.0383566,신설동,0.20689004732604213
29,스시코야,4.3,동대문구, 서울특별시 동대문구 황물로 42 1F,일식, 2만원-3만원,1 일 전,맛있다,11.0,9.0,2.0,0.0,3.5181818181818176,37.5710005,127.0496624,마장,0.8013101020385571
30,골목길빵공작소,4.3,동대문구, 서울특별시 동대문구 답십리로60길 112 1F,카페/디저트, 만원 미만,2022-08-05,맛있다,16.0,16.0,0.0,0.0,4.3,37.5675347,127.0618732,답십리,0.531878559333711
31,대흥설농탕,4.3,동대문구, 서울특별시 동대문구 한천로 60,한식, 만원-2만원,2022-06-07,맛있다,9.0,8.0,1.0,0.0,3.822222222222222,37.5698629,127.0644296,장한평,0.8703309912351014
